name,lat,lon,quintile,subregion,country_iso,density_wsf,density,lacunarity_mean,lacunarity_slope,r_crit,mfa_alpha_width,W_trans,gamma,Delta_D,S_alpha
locv2_16629042,-0.975,-80.8417,Q4,South America,ECU,0.034021,0.00897825,27.590383193777807,0.7281742486946771,394.74242424242425,2.2047681094303924,304.52161341304196,0.00771201278605404,-0.03363703241065208,0.22930324343062092
locv2_4121232,-28.475,-71.2417,Q4,South America,CHL,0.055469,0.0125195,24.677304034566873,0.6824080841770878,112.05555555555554,1.8477633002141731,1899.482683982684,0.006740870435217611,0.03646178979049175,0.41397152805517934
locv2_12009973,-9.975,-55.1917,Q4,South America,BRA,0.040554,0.0187275,16.09155137390128,0.561387475926497,112.05555555555554,2.282316870573194,89.9213468013468,0.01713556778389195,-0.16131070961706806,0.33099207420830434
locv2_1124691,-42.5083,-73.7917,Q4,South America,CHL,0.035322,0.025824,9.557086821428644,0.580732493265155,334.16666666666663,1.9366638174389392,263.7026001643226,0.01069734867433718,-0.05419844393437989,0.5100576401233046
locv2_4106350,-28.525,-48.775,Q4,South America,BRA,0.026275,0.01293875,22.148288052135516,0.6281559365654207,71.67171717171716,2.005749210407594,74.92264752791067,0.012480240120060031,-0.17797998708005625,0.3722332092175401
locv2_11956116,-10.075,-78.1417,Q4,South America,PER,0.05041,0.03850325,10.78810851578425,0.3778797432273098,91.86363636363636,2.0127834418045434,461.5616678464287,0.013916458229114555,0.0009743607932803933,0.5317180959867094
locv2_371451,-51.525,-72.325,Q4,South America,ARG,0.028645,0.01904475,16.799405323902743,0.4293495831301266,91.86363636363636,2.0085766588363674,56.983985316066864,0.013223111555777888,0.02298151541536031,0.37667886461155037
locv2_18181630,2.4917,-50.9417,Q4,South America,BRA,0.037172,0.0204545,14.000536198082337,0.5739404613971472,112.05555555555554,2.364969093663504,52.56483311374615,0.01812606303151576,-0.06186157917337365,0.23220152444915998
locv2_10997661,-12.0583,-77.1583,Q4,South America,PER,0.043358,0.0188205,19.135993235735228,0.4527047655783356,71.67171717171716,2.4833958495031254,197.64208588346517,0.012133566783391697,0.07969392312657964,0.23408462006317446
locv2_13276871,-7.4917,-78.825,Q4,South America,PER,0.034166,0.02220175,11.940302700321835,0.6162882409166184,637.0454545454545,1.772399903989572,574.9779486224159,0.010301150575287656,0.008207155577053094,0.6726860013760896
locv2_1687703,-38.1083,-57.5583,Q4,South America,ARG,0.030003,0.02699725,14.299144872020998,0.4909841926475863,132.24747474747474,2.487572683340012,1920.7563131313132,0.006883941970985493,0.11063424101000696,0.18463046574523723
locv2_16637583,-0.9583,-80.825,Q4,South America,ECU,0.025957,0.00652,37.49311943422415,0.7344680214243108,112.05555555555554,1.9152163759830343,705.5220806147601,0.010988777063303689,-0.025744869232207757,0.34440814027423766
locv2_2844000,-32.675,-62.3083,Q4,South America,ARG,0.035177,0.01430925,24.52680321846654,0.4481064472418746,112.05555555555554,1.9415536791708925,42.26178317354788,0.01995847923961981,0.04682561135632346,0.31814268949504
locv2_9301743,-16.1583,-38.9583,Q4,South America,BRA,0.0272,0.0024515,100.79402974654114,0.8644239308162786,192.82323232323233,1.617936219122821,1923.4822222222222,0.004084516485046648,-0.04711397710170684,0.6978473957919057
locv2_737482,-46.8417,-72.7083,Q4,South America,CHL,0.045901,0.015458,16.99023172862552,0.5988539668443187,112.05555555555554,2.255419080179357,117.20819353077418,0.016838419209604803,-0.22918083244130605,0.36669275591396977
locv2_19317263,5.1417,-70.8583,Q4,South America,COL,0.048214,0.02381275,12.68500414382362,0.5711678630693802,112.05555555555554,2.0478030358570236,90.98527443105756,0.013124062031015507,-0.2077765477250444,0.4808869298055895
locv2_4422765,-27.5917,-48.425,Q4,South America,BRA,0.027286,0.01792675,18.733171631121262,0.4139605375123544,112.05555555555554,2.062319109456174,528.1536098310291,0.015600300150075038,-0.010206307344035714,0.3087937566862538
locv2_14606786,-4.875,-81.1083,Q4,South America,PER,0.028732,0.0204495,15.736527303844582,0.5120221160175227,71.67171717171716,2.3112191630525523,468.0719186973776,0.013668834417208604,-0.1672327558439466,0.3202628776073048
locv2_1126499,-42.4917,-73.7917,Q4,South America,CHL,0.043126,0.038839,7.621903833563405,0.4707902781947243,112.05555555555554,1.9237148876809207,1916.5496632996633,0.008914457228614307,0.07804054768920476,0.6136103254953522
locv2_15285170,-3.575,-59.1417,Q4,South America,BRA,0.044398,0.01872975,18.480949598738075,0.4251569620041063,112.05555555555554,2.5132102210938947,48.508682058682055,0.01995847923961981,0.017743984089195974,0.1287516970854288
locv2_1668443,-38.2417,-73.4917,Q4,South America,CHL,0.032229,0.0128755,22.42178750055543,0.5167659476935551,91.86363636363636,2.3944823618115647,74.93761559254517,0.01406503251625813,0.0809647458626952,0.16396329666699677
locv2_7570443,-19.8917,-67.6917,Q4,South America,BOL,0.025986,0.00961,28.20893927265315,0.685771331357306,71.67171717171716,2.0285911049150105,115.33075819927679,0.01884330323056265,-0.21443794911954162,0.3914231156722919
locv2_1673966,-38.2083,-57.7083,Q4,South America,ARG,0.038964,0.02956375,9.167041612201563,0.574438374248951,152.43939393939394,1.895330328771581,69.94687904687906,0.015649824912456225,-0.026411456586166837,0.799556104546464
locv2_17490407,0.8417,-79.925,Q4,South America,ECU,0.054602,0.02530275,11.50926007298832,0.5669043552650406,253.3989898989899,2.086240646487016,363.45454545454544,0.005744872436218113,-0.0643003775355071,0.4030305151255632
locv2_5932570,-23.5083,-70.5417,Q4,South America,CHL,0.033472,0.0179785,16.564756936544676,0.4881337419366118,132.24747474747474,2.3189953923437554,73.502724045762,0.010449724862431215,-0.10298679728187521,0.26232338277846357
locv2_13652120,-6.7417,-51.175,Q4,South America,BRA,0.040005,0.01605075,18.580899436094786,0.5495035929007248,112.05555555555554,2.136558016491259,568.5914554905783,0.012529764882441221,-0.03129104381115533,0.3394906199263715
locv2_1353377,-40.5917,-73.725,Q4,South America,CHL,0.025379,0.0197955,12.422791996199017,0.5127464555840345,738.0050505050505,2.293291983886883,674.1955009027472,0.011390695347673849,0.005335747823044024,0.3011268139395674
locv2_15580505,-3.0083,-39.6917,Q5,South America,BRA,0.06758,0.0245635,10.436587645808135,0.623206016034225,132.24747474747474,1.7699530355182922,158.47862784108037,0.00822111055527764,-0.009779814379346385,1.145104737904111
locv2_3549062,-30.2583,-71.5083,Q5,South America,CHL,0.061712,0.022602,13.084493582275272,0.4834873368241623,112.05555555555554,2.431946419534458,53.803407211335596,0.017333666833416708,0.004931354476853667,0.24451399115597774
